latitude,longitude,name
 "41.29754417294296,-96.00463573310805","ALL AMERICAN PROPERTIES"
 "41.26199440819909,-96.04339935754405","AMIGO'S"
 "41.203461864655786,-96.12468140448863","APPLE BUFFET"
 "41.26800318258563,-95.93593675267383","BARLEY'S TIP TOP"
 "41.26506047016374,-96.09093810087977","BILLY'S MIRACLE HILLS CAFÉ"
 "41.257633559815815,-95.94579449627408","BLACK SEA RESTAURANT"
 "41.21986117112641,-95.94702800888427","BROWN DERBY INC"
 "41.23020310246583,-96.0408102602124","CAKE GALLERY (THE)"
 "41.24874739470749,-96.02118610342035","CANIGLIAS VENICE INN"
 "41.20664113729572,-96.08143168616317","CAPPY'S"
 "41.2079626227725,-95.9469867792448","CARNICERIA EL PUEBUTO"
 "41.20935708982421,-96.09880658776922","CAROL HOTEL"
 "41.217063774834564,-95.9904379457542","CHINA SONG CUISINE"
 "41.260689999643944,-95.94059000012828","CHINA STAR BUFFET"
 "41.21959137451762,-96.13954587569651","CILANTROS"
 "41.26752534084197,-96.09232440283883","CLANCY'S PUB"
 "41.267947920033066,-95.97351304264714","CUMING FOOD MART"
 "41.217450988087876,-96.048984147346","DOC'S BAR & GRILL"
 "41.25736380089815,-95.9372533587132","DOWNTOWN FOOD MART"
 "41.2650790827596,-95.99081599849092","DUNDEE DELL"
 "41.280286618275056,-95.93744123605194","DUNN DEAL"
 "41.20911427287626,-95.94706398176544","EL ALAMO"
 "41.20609255085782,-95.94854786311379","EL TAQUERA PELIGRO"
 "41.259638184482355,-96.02177066273941","FAMILY FUN CENTER"
 "41.263554053652754,-96.10064219298035","FOX & HOUND ENG PUB & GRILL"
 "41.2327769154576,-96.18207980260783","FOX & HOUND ENG PUB & GRILL"
 "41.260689999643944,-95.94059000012828","GLOBAL FOODS INC"
 "41.29946915716005,-96.00965679500473","GODFATHER'S PIZZA"
 "41.264523028662666", "-96.06701102755102","GYRO AND MORE"
 "41.2169875698557,-95.99044175600315","HELADOS SANTA FE"
 "41.26574409671385,-96.09103581630646","HONG KONG CAFE"
 "41.23209064280315,-96.04190553076452","INDIAN GROCERY"
 "41.212483273533635,-95.98724951074765","INTERNATIONAL BUFFET"
 "41.26555889779391,-96.09090491720355","JACK & MARY'S RESTAURANT"
 "41.278326834157774,-96.09830199508731","JADE GARDEN"
 "41.285017052149215,-96.01371273735685","JOE'S CAFÉ"
 "41.29696355194425,-96.09474410436883","KNOLLS GOLF COURSE"
 "41.27761563184805,-96.10112683860484","KUM & GO #348"
 "41.205292154251765,-96.0835630793726","KURRY EXPRESS"
 "41.23159732360875,-95.94149717840406","LA CHIRIPA"
 "41.23159732360875,-95.94149717840406","LA CHIRIPA MOBLE UNIT"
 "41.210706072868106,-95.94706398176544","LA FLOR DE MEXICO"
 "41.21608401860334,-95.9476215614236","LA FONDITA"
 "41.263900970901204,-95.98031191718866","LALIBELA"
 "41.28499906570863,-96.00101431030316","LOUIS BEER-LIQUOR MARKET"
 "41.19606359681204,-96.10549717408628","OAK HILLS COUNTRY CLUB"
 "41.245968489636994,-95.98949399510781","OLEAVER'S PUB"
 "41.27982139588346,-96.02396722353885","OMAHA TROPICAL MARKET"
 "41.23410963105592,-95.94416012573717","OPEN DOOR MISSION"
 "41.26813677765921,-96.09482259117942","QUALITY INN & SUITES"
 "41.26433264547529,-95.98081553752507","RICE BOWL"
 "41.241525838812265,-95.96495149692822","RICHIE'S CHICKEN & RIBS"
 "41.23345892020944,-95.93980645298899","RIVER CITY SALOON"
 "41.20528972309551,-96.06461892105693","ROMAN COIN PIZZA"
 "41.23508669308245,-96.19071729916368","RYAN'S BISTRO"
 "41.23257198858586,-96.1193467825877","SCOOTERS COFFEE HOUSE"
 "41.264523028662666,-96.06701102755102","SCOOTERS JAVA EXPRESS"
 "41.259629455667856,-96.0289205109129","SEASON BUFFET"
 "41.23301825241509,-96.02389306272858","SHARK CLUB (THE)"
 "41.278955621671685,-95.94704599532486","SKEETS RIBS"
 "41.23437622867931,-95.94704599532486","STOYSICH HOUSE OF SAUSAGE"
 "41.253651973552365,-95.95007787299586","SUPER BEE MART"
 "41.205534161809815,-95.94700010734677","TAQUERIA EL REY"
 "41.20576879492728,-95.94707297498576","TAQUERIA TIJUANA"
 "41.263703484793936,-96.15638394260911","THAI SPICE"
 "41.25964717770262,-95.97489799857226","TOBACCO & PHONES 4 LESS"
 "41.23595458998355,-96.13588429059413","TOKYO KITCHEN"
 "41.20435685934126,-96.19900904827387","TWO FINE IRISHMEN"
 "41.2195823812973,-96.14067002823316","VARSITY SPORTS CAFÉ/ROMAN COIN PIZZA"
 "41.24885617680985,-96.04746215722669","VILLAGE GRINDER"
 "41.259719123465004,-95.9566597478181","WALGREENS #05741"
 "41.292085723299465,-96.14127257399281","WASABI SUSHI"
 "41.25544734382578,-95.93218919540084","WHEATFIELD'S EATERY-BAKERY"
 "41.20527416781118,-96.02043966613604","WINCHESTER BAR"
